Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2015-08-04 08:55:17,Hiking,,11.52,3:58:08,20:40,2.90,1587.0,1302.18,,,2015-08-04-0855.gpx
2015-08-01 19:02:26,Running,,6.01,40:35,6:45,8.88,569.0,142.18,,,2015-08-01-1902.gpx
2015-07-29 14:08:33,Walking,,1.02,30:27,29:54,2.01,114.0,44.52,,,2015-07-29-1408.gpx
2015-07-26 18:23:19,Running,,4.47,33:04,7:24,8.11,404.0,85.67,,,2015-07-26-1823.gpx
2015-07-21 18:03:56,Running,,7.46,56:13,7:32,7.96,695.0,156.99,,,2015-07-21-1803.gpx
2015-07-17 08:37:40,Running,,4.60,30:11,6:34,9.14,422.0,32.18,,,2015-07-17-0837.gpx
2015-07-15 17:17:59,Running,,8.42,1:01:51,7:21,8.16,754.0,56.55,,,2015-07-15-1717.gpx
2015-07-09 17:19:16,Running,,6.45,49:22,7:39,7.84,563.0,40.64,,,2015-07-09-1719.gpx
2015-07-06 06:08:15,Hiking,,4.57,2:44:03,35:52,1.67,1184.0,1113.62,,,2015-07-06-0608.gpx
2015-07-05 10:21:50,Hiking,,20.62,5:30:15,16:01,3.75,2322.0,1619.30,,,2015-07-05-1021.gpx
2015-07-01 09:47:42,Walking,,3.15,1:13:25,23:17,2.58,308.0,183.00,,,2015-07-01-0947.gpx
2015-06-25 14:37:49,Walking,,2.84,1:02:48,22:07,2.71,280.0,211.80,,,2015-06-25-1437.gpx
2015-06-19 06:35:39,Hiking,,3.92,1:05:49,16:47,3.58,345.0,104.52,,,2015-06-19-0635.gpx
2015-06-18 14:32:32,Hiking,,9.03,2:30:56,16:42,3.59,877.0,423.36,,,2015-06-18-1432.gpx
2015-06-18 11:42:08,Hiking,,0.91,16:12,17:49,3.37,77.0,9.36,,,2015-06-18-1142.gpx
2015-06-17 11:48:47,Hiking,,0.48,29:32,61:51,0.97,126.0,84.65,,,2015-06-17-1148.gpx
2015-06-17 11:47:26,Hiking,,0.75,25:49,34:32,1.74,85.0,10.14,,,2015-06-17-1147.gpx
2015-06-15 10:47:12,Mountain Biking,,29.39,1:43:20,3:31,17.07,1594.0,1996.07,,,2015-06-15-1047.gpx
2015-06-15 09:11:28,Cycling,,20.54,47:05,2:18,26.17,591.0,877.18,,,2015-06-15-0911.gpx
2015-06-05 11:19:57,Hiking,,13.01,4:35:05,21:08,2.84,1557.0,1013.55,,,2015-06-05-1119.gpx
2015-06-02 11:43:36,Hiking,,5.64,1:46:19,18:52,3.18,540.0,160.13,,,2015-06-02-1143.gpx
2015-05-21 09:36:51,Hiking,,2.50,1:12:24,29:00,2.07,438.0,329.00,,,2015-05-21-0936.gpx
2015-05-20 12:02:54,Hiking,,4.02,1:35:07,23:39,2.54,556.0,445.39,,,2015-05-20-1202.gpx
2015-05-18 11:13:44,Hiking,,0.75,32:21,43:16,1.39,159.0,84.83,,,2015-05-18-1113.gpx
2015-05-14 13:43:40,Walking,,1.28,27:01,21:04,2.85,95.0,16.06,,,2015-05-14-1343.gpx
2015-05-13 12:46:48,Walking,,0.10,1:49,17:25,3.44,7.0,0.00,,,2015-05-13-1246.gpx
2015-05-05 08:16:38,Hiking,,7.67,3:53:13,30:25,1.97,1538.0,1271.80,,,2015-05-05-0816.gpx
2015-05-04 13:28:10,Cycling,,36.66,2:59:41,4:54,12.24,1331.0,486.05,,,2015-05-04-1328.gpx
2015-05-02 12:25:16,Hiking,,16.51,4:52:22,17:43,3.39,1959.0,1195.81,,,2015-05-02-1225.gpx
2015-04-27 12:20:36,Hiking,,7.00,1:55:14,16:28,3.65,760.0,500.15,,,2015-04-27-1220.gpx
2015-04-23 14:28:22,Hiking,,9.70,2:26:57,15:09,3.96,877.0,303.50,,,2015-04-23-1428.gpx
2015-04-21 12:44:18,Hiking,,12.28,2:38:15,12:53,4.65,1175.0,622.34,,,2015-04-21-1244.gpx
2015-04-06 14:36:35,Walking,,6.70,1:30:17,13:29,4.45,469.0,83.58,,,2015-04-06-1436.gpx
