Date,Type,Value
2013-05-20 00:00:00,weight,86.8629
2014-07-08 00:00:00,weight,88.2237
2013-03-16 00:00:00,weight,87.0897
2013-08-25 00:00:00,weight,86.8629
2014-02-03 00:00:00,weight,86.8629
2014-03-20 00:00:00,weight,85.2754
2014-03-25 00:00:00,weight,85.5022
2014-02-18 00:00:00,weight,85.9558
2014-03-05 00:00:00,weight,85.729
2013-04-23 00:00:00,weight,87.0897
2014-01-14 00:00:00,weight,88.6773
2014-05-06 00:00:00,weight,86.6361
2013-07-17 00:00:00,weight,87.3165
2014-06-25 00:00:00,weight,86.6361
2014-07-02 00:00:00,weight,87.3165
2013-03-02 00:00:00,weight,88.4505
2014-06-17 00:00:00,weight,87.5433
2014-08-11 00:00:00,weight,88.9041
2013-04-16 00:00:00,weight,87.0897
2014-01-06 00:00:00,weight,89.1309
2013-05-31 00:00:00,weight,87.5433
2014-02-27 00:00:00,weight,86.1826
2015-03-13 00:00:00,weight,86.1825
2013-03-05 00:00:00,weight,87.5433
2013-04-29 00:00:00,weight,87.9969
2014-05-20 00:00:00,weight,87.0897
2013-09-10 00:00:00,weight,87.5433
2014-07-31 00:00:00,weight,88.4505
2014-08-05 00:00:00,weight,88.4505
2014-07-16 00:00:00,weight,88.6773
2014-01-10 00:00:00,weight,88.6773
2014-08-15 00:00:00,weight,88.6773
2013-03-28 00:00:00,weight,87.7701
2015-03-20 00:00:00,weight,85.729
2013-07-11 00:00:00,weight,88.9041
2014-03-03 00:00:00,weight,86.4093
2014-03-13 00:00:00,weight,85.729
2014-02-11 00:00:00,weight,86.6361
2015-01-27 00:00:00,weight,85.2754
2014-01-22 00:00:00,weight,88.2237
2014-01-27 00:00:00,weight,87.7701
2014-05-02 00:00:00,weight,86.1826
2014-07-11 00:00:00,weight,87.7701
2014-05-07 00:00:00,weight,85.729
